@CO	shape:(13100, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
-1.7418358659315736e-06	-13.260571395417827
-9.655373717221138e-08	-16.15317152168764
-8.352661287625018e-07	-13.995515576600841
-7.030139664854218e-08	-16.47048077923986
-2.30284062374686e-08	-17.58657053145114
-3.5525682562376204e-08	-17.153020825462978
-1.9819692451295e-05	-10.82884447110236
-3.6376457401843254e-13	-28.642177954271965
-1.6958268123090647e-11	-24.79638088207946
-4.605347098118884e-08	-16.893454816065955
-3.09267667031321e-10	-21.896717210565566
-1.3276213461921316e-11	-25.017592614256273
-3.7242431361050876e-13	-28.494259969393095
-3.6376457401843254e-13	-28.642177764968977
-2.4030943901465207e-11	-24.455886729925588
-3.6376457401843254e-13	-28.64217795427167
-4.638028474057698e-07	-14.583806955285148
-8.701825093826443e-09	-18.559798860228174
-7.217028030748196e-09	-18.746710086030586
-3.4256143366939718e-06	-12.58423150713831
-3.6509684164798273e-13	-28.63143544866943
-3.6376457401843254e-13	-28.642177954225282
-4.96603000998963e-07	-14.515475099529555
-2.157551594106355e-06	-13.046537421906919
-8.986238975161598e-10	-20.83076148806563
-7.137325873096678e-07	-14.152757498397799
-1.803508975883883e-06	-13.225777559140484
-5.840032180626231e-07	-14.353360176389904
-1.3828798916537544e-06	-13.491343521177706
-8.841948386850706e-06	-11.636007676294328
-1.1238177055616916e-11	-25.171802967658323
-2.424093227815227e-07	-15.232640927386552
-5.67958072905661e-07	-14.381217965832187
-1.4486545683922714e-05	-11.142297476650732
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64217795427197
-1.0548339424154562e-09	-20.669783562536814
-1.1032286666989854e-06	-13.717270167286344
-2.7983428401712196e-06	-12.786484621232796
-2.744733189452564e-06	-12.805828088274446
-9.559019348293063e-08	-16.163190070762276
-6.267705162099624e-07	-14.282684682052892
-5.009881398621019e-13	-27.90843128852673
